0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,3.15,12.61,28.38,50.45,78.83,113.52,154.51,201.81,255.41,
0.00,6.00,23.99,53.98,95.96,149.95,215.92,293.89,383.86,485.82,
0.00,8.26,33.02,74.30,132.08,206.38,297.19,404.51,528.34,668.68,
0.00,9.70,38.82,87.34,155.27,242.62,349.37,475.53,621.10,786.08,
0.00,10.20,40.82,91.84,163.27,255.10,367.35,500.00,653.06,826.53,
0.00,9.70,38.82,87.34,155.27,242.62,349.37,475.53,621.10,786.08,
0.00,8.26,33.02,74.30,132.08,206.38,297.19,404.51,528.34,668.68,
0.00,6.00,23.99,53.98,95.96,149.95,215.92,293.89,383.86,485.82,
0.00,3.15,12.61,28.38,50.45,78.83,113.52,154.51,201.81,255.41,
